,movie name,year of release,runtime,movie rating,meta score,votes
0,The Godfather,(1972),175 min,9.2,100,"1,992,822"
1,Citizen Kane,(1941),119 min,8.3,100,"462,933"
2,2001: A Space Odyssey,(1968),149 min,8.3,84,"713,022"
3,The Godfather Part II,(1974),202 min,9,90,"1,352,174"
4,Shichinin no samurai,(1954),207 min,8.6,98,"364,082"
5,Vertigo,(1958),128 min,8.3,100,"423,871"
6,Apocalypse Now,(1979),147 min,8.4,94,"704,378"
7,Pulp Fiction,(1994),154 min,8.9,95,"2,196,719"
8,Casablanca,(1942),102 min,8.5,100,"601,776"
9,Psycho,(1960),109 min,8.5,97,"712,797"
10,8½,(1963),138 min,8,93,"124,396"
11,Lawrence of Arabia,(1962),218 min,8.3,100,"311,530"
12,Goodfellas,(1990),145 min,8.7,92,"1,244,649"
13,Taxi Driver,(1976),114 min,8.2,94,"910,852"
14,Tôkyô monogatari,(1953),136 min,8.1,100,"67,703"
15,Schindler's List,(1993),195 min,9,95,"1,436,965"
16,12 Angry Men,(1957),96 min,9,97,"854,792"
17,Singin' in the Rain,(1952),103 min,8.3,99,"258,545"
18,Sen to Chihiro no kamikakushi,(2001),125 min,8.6,96,"837,858"
19,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,(1964),95 min,8.4,97,"514,493"
20,Rear Window,(1954),112 min,8.5,100,"518,345"
21,Ladri di biciclette,(1948),89 min,8.3,no meta score given,"173,773"
22,"Il buono, il brutto, il cattivo",(1966),161 min,8.8,90,"804,423"
23,Sunrise: A Song of Two Humans,(1927),94 min,8.1,95,"53,506"
24,The Shawshank Redemption,(1994),142 min,9.3,82,"2,860,708"
25,City Lights,(1931),87 min,8.5,99,"194,611"
26,Raging Bull,(1980),129 min,8.1,90,"377,143"
27,La passion de Jeanne d'Arc,(1928),110 min,8.1,98,"59,996"
28,One Flew Over the Cuckoo's Nest,(1975),133 min,8.7,84,"1,064,110"
29,La règle du jeu,(1939),110 min,7.9,99,"31,080"
30,Blade Runner,(1982),117 min,8.1,84,"816,048"
31,Sunset Blvd.,(1950),110 min,8.4,94,"234,630"
32,Stalker,(1979),162 min,8.1,85,"143,426"
33,Star Wars: Episode V - The Empire Strikes Back,(1980),124 min,8.7,82,"1,367,910"
34,Once Upon a Time in the West,(1968),166 min,8.5,82,"346,987"
35,Persona,(1966),85 min,8.1,86,"129,652"
36,Star Wars,(1977),121 min,8.6,90,"1,438,419"
37,The Shining,(1980),146 min,8.4,68,"1,096,290"
38,Rashômon,(1950),88 min,8.2,98,"178,900"
39,Andrei Rublev,(1966),205 min,8.1,no meta score given,"56,667"
40,M - Eine Stadt sucht einen Mörder,(1931),117 min,8.3,no meta score given,"167,186"
41,The Searchers,(1956),119 min,7.8,94,"95,539"
42,A Clockwork Orange,(1971),136 min,8.3,77,"875,098"
43,Les quatre cents coups,(1959),99 min,8.1,no meta score given,"127,107"
44,Some Like It Hot,(1959),121 min,8.2,98,"281,617"
45,Modern Times,(1936),87 min,8.5,96,"257,378"
46,The Third Man,(1949),104 min,8.1,97,"180,530"
47,Metropolis,(1927),153 min,8.3,98,"184,082"
48,Fa yeung nin wah,(2000),98 min,8.1,87,"165,020"
49,The General,(1926),78 min,8.1,no meta score given,"97,386"
50,Fight Club,(1999),139 min,8.8,67,"2,296,075"
51,La dolce vita,(1960),174 min,8,95,"77,705"
52,It's a Wonderful Life,(1946),130 min,8.6,89,"495,728"
53,The Apartment,(1960),125 min,8.3,94,"194,897"
54,Zerkalo,(1975),107 min,8,82,"51,623"
55,Chinatown,(1974),130 min,8.1,92,"346,794"
56,Raiders of the Lost Ark,(1981),115 min,8.4,86,"1,030,301"
57,Touch of Evil,(1958),95 min,8,99,"109,272"
58,Alien,(1979),117 min,8.5,89,"941,067"
59,North by Northwest,(1959),136 min,8.3,98,"343,927"
60,The Silence of the Lambs,(1991),118 min,8.6,86,"1,533,124"
61,Fanny och Alexander,(1982),188 min,8.1,100,"67,179"
62,There Will Be Blood,(2007),158 min,8.2,93,"635,606"
63,Barry Lyndon,(1975),185 min,8.1,89,"181,377"
64,Bronenosets Potemkin,(1925),75 min,7.9,97,"61,066"
65,The Night of the Hunter,(1955),92 min,8,97,"96,586"
66,Jaws,(1975),124 min,8.1,87,"653,843"
67,Det sjunde inseglet,(1957),96 min,8.1,88,"196,851"
68,Idi i smotri,(1985),142 min,8.4,no meta score given,"94,891"
69,La Grande Illusion,(1937),113 min,8.1,no meta score given,"38,667"
70,The Wizard of Oz,(1939),102 min,8.1,92,"425,422"
71,La battaglia di Algeri,(1966),121 min,8.1,96,"65,059"
72,Smultronstället,(1957),91 min,8.1,88,"114,043"
73,Once Upon a Time in America,(1984),229 min,8.3,75,"374,597"
74,À bout de souffle,(1960),90 min,7.7,no meta score given,"87,336"
75,Ran,(1985),160 min,8.2,97,"134,867"
76,Eternal Sunshine of the Spotless Mind,(2004),108 min,8.3,89,"1,068,051"
77,All About Eve,(1950),138 min,8.2,98,"137,885"
